feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.2,"[25, 25]",jm,0.2552,1.788832
0.05,0.2,"[100, 10]",jm,0.2552,1.784387
0.05,0.2,"[50, 50]",jm,0.2552,1.755109
0.05,0.2,"[25, 50]",jm,0.2552,1.898016
0.05,0.2,"[50, 25]",jm,0.2552,1.905371
0.05,0.35,"[10, 100]",jm,0.2544,1.70116
0.05,0.0,"[25, 25]","['wasserstein', 'jm']",0.2537,7.468439
0.05,0.0,"[100, 10]","['wasserstein', 'jm']",0.2537,7.497958
0.05,0.0,"[50, 50]","['wasserstein', 'jm']",0.2537,7.449909
0.05,0.0,"[25, 50]","['wasserstein', 'jm']",0.2537,7.44867
0.05,0.0,"[50, 25]","['wasserstein', 'jm']",0.2537,7.433689
0.05,0.2,"[25, 25]","['wasserstein', 'jm']",0.2537,7.453031
0.05,0.2,"[100, 10]","['wasserstein', 'jm']",0.2537,7.482039
0.05,0.2,"[50, 50]","['wasserstein', 'jm']",0.2537,7.420263
0.05,0.2,"[25, 50]","['wasserstein', 'jm']",0.2537,7.468373
0.05,0.2,"[50, 25]","['wasserstein', 'jm']",0.2537,7.477237
0.05,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.2533,7.973559
0.05,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.2533,7.916688
0.05,0.35,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.2532,7.775314
0.05,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.2532,7.78065
0.05,0.35,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.2532,8.01841
0.05,0.35,"[25, 25]",jm,0.2523,1.68605
0.05,0.35,"[100, 10]",jm,0.2523,1.689576
0.05,0.35,"[50, 50]",jm,0.2523,1.885435
0.05,0.35,"[25, 50]",jm,0.2523,1.715859
0.05,0.35,"[50, 25]",jm,0.2523,1.698903
0.05,0.0,"[10, 100]",jm,0.2521,1.739233
0.05,0.2,"[10, 100]",jm,0.2521,1.727759
0.05,0.5,"[25, 25]",hellinger,0.2515,1.875306
0.05,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.2515,7.401227
0.05,0.5,"[25, 50]",hellinger,0.2515,1.908659
0.05,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.2515,7.465776
0.05,0.0,"[10, 100]","['jm', 'hellinger']",0.2477,7.658341
0.05,0.2,"[10, 100]","['jm', 'hellinger']",0.2477,7.710876
0.05,0.5,"[50, 50]",hellinger,0.2471,2.081714
0.05,0.5,"[50, 25]",hellinger,0.2471,2.014107
0.05,0.5,"[100, 10]",hellinger,0.2464,2.622122
0.05,0.5,"[10, 100]","['jm', 'hellinger']",0.2396,7.450008
0.05,0.35,"[25, 25]","['jm', 'hellinger']",0.2392,7.536396
0.05,0.35,"[25, 50]","['jm', 'hellinger']",0.2392,7.66178
0.05,0.5,"[25, 25]","['jm', 'hellinger']",0.2386,7.593487
0.05,0.0,"[100, 10]","['wasserstein', 'hellinger']",0.2384,7.709909
0.05,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.2384,7.757474
0.05,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2379,7.722908
0.05,0.5,"[25, 50]","['jm', 'hellinger']",0.2379,7.481246
0.05,0.0,"[25, 25]","['jm', 'hellinger']",0.2378,7.491605
0.05,0.0,"[25, 50]","['jm', 'hellinger']",0.2378,7.4345
0.05,0.2,"[25, 25]","['jm', 'hellinger']",0.2378,7.392662
0.05,0.2,"[25, 50]","['jm', 'hellinger']",0.2378,7.438247
0.05,0.35,"[100, 10]","['jm', 'hellinger']",0.2373,7.839752
0.05,0.5,"[100, 10]","['jm', 'hellinger']",0.237,7.474387
0.05,0.5,"[25, 25]","['wasserstein', 'jm']",0.2367,7.35843
0.05,0.5,"[100, 10]","['wasserstein', 'jm']",0.2367,7.354236
0.05,0.5,"[50, 50]","['wasserstein', 'jm']",0.2367,7.41936
0.05,0.5,"[25, 50]","['wasserstein', 'jm']",0.2367,7.329539
0.05,0.5,"[50, 25]","['wasserstein', 'jm']",0.2367,7.347423
0.05,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.2366,8.230655
0.05,0.5,"[10, 100]","['wasserstein', 'jm']",0.2362,7.318138
0.05,0.0,"[100, 10]","['jm', 'hellinger']",0.2359,7.499544
0.05,0.2,"[100, 10]","['jm', 'hellinger']",0.2359,7.48041
0.05,0.0,"[50, 50]","['wasserstein', 'hellinger']",0.2349,7.534413
0.05,0.0,"[50, 25]","['wasserstein', 'hellinger']",0.2349,7.508701
0.05,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.2349,7.548038
0.05,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.2349,7.553342
0.05,0.0,"[100, 10]",hellinger,0.2337,1.949709
0.05,0.2,"[100, 10]",hellinger,0.2337,1.950418
0.05,0.0,"[50, 50]","['jm', 'hellinger']",0.2328,7.40122
0.05,0.0,"[50, 25]","['jm', 'hellinger']",0.2328,7.459518
0.05,0.2,"[50, 50]","['jm', 'hellinger']",0.2328,7.422345
0.05,0.2,"[50, 25]","['jm', 'hellinger']",0.2328,7.456322
0.05,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2311,7.891025
0.05,0.2,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.2311,7.846726
0.05,0.5,"[25, 25]",wasserstein,0.231,2.971208
0.05,0.5,"[100, 10]",wasserstein,0.231,2.832519
0.05,0.5,"[50, 50]",wasserstein,0.231,2.785594
0.05,0.5,"[10, 100]",wasserstein,0.231,2.795572
0.05,0.5,"[25, 50]",wasserstein,0.231,2.885666
0.05,0.5,"[50, 25]",wasserstein,0.231,2.768392
0.05,0.35,"[25, 25]","['wasserstein', 'jm']",0.2306,7.149602
0.05,0.35,"[100, 10]","['wasserstein', 'jm']",0.2306,7.113991
0.05,0.35,"[50, 50]","['wasserstein', 'jm']",0.2306,7.150387
