feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.1,0.2,"[50, 25]",jm,0.217,0.603326
0.1,0.0,"[25, 25]",jm,0.216,0.604876
0.1,0.0,"[100, 10]",jm,0.216,0.599066
0.1,0.0,"[50, 50]",jm,0.216,0.596712
0.1,0.0,"[10, 100]",jm,0.216,0.611979
0.1,0.0,"[25, 50]",jm,0.216,0.612335
0.1,0.0,"[50, 25]",jm,0.216,0.573011
0.1,0.5,"[100, 10]",hellinger,0.216,0.585056
0.1,0.5,"[50, 50]",hellinger,0.216,0.581561
0.1,0.5,"[10, 100]","['wasserstein', 'hellinger']",0.216,6.074157
0.1,0.5,"[50, 25]",hellinger,0.216,0.566673
0.1,0.2,"[100, 10]","['wasserstein', 'hellinger']",0.215,6.020184
0.1,0.2,"[50, 50]","['wasserstein', 'hellinger']",0.215,6.016018
0.1,0.2,"[50, 25]","['wasserstein', 'hellinger']",0.215,6.037624
0.1,0.2,"[25, 25]",wasserstein,0.214,0.748967
0.1,0.2,"[25, 25]","['wasserstein', 'hellinger']",0.214,6.07826
0.1,0.2,"[100, 10]",wasserstein,0.214,0.741216
0.1,0.2,"[50, 50]",wasserstein,0.214,0.726829
0.1,0.2,"[10, 100]",wasserstein,0.214,0.728389
0.1,0.2,"[25, 50]",wasserstein,0.214,0.734134
0.1,0.2,"[25, 50]","['wasserstein', 'hellinger']",0.214,6.065502
0.1,0.2,"[50, 25]",wasserstein,0.214,0.754745
0.1,0.35,"[25, 25]",wasserstein,0.213,0.728928
0.1,0.35,"[100, 10]",wasserstein,0.213,0.737714
0.1,0.35,"[50, 50]",wasserstein,0.213,0.737801
0.1,0.35,"[10, 100]",wasserstein,0.213,0.739057
0.1,0.35,"[25, 50]",wasserstein,0.213,0.74682
0.1,0.35,"[50, 25]",wasserstein,0.213,0.742844
0.1,0.2,"[25, 25]","['wasserstein', 'jm']",0.211,6.063474
0.1,0.2,"[100, 10]","['wasserstein', 'jm']",0.211,6.068107
0.1,0.2,"[50, 50]","['wasserstein', 'jm']",0.211,6.022018
0.1,0.2,"[10, 100]","['wasserstein', 'jm']",0.211,6.053949
0.1,0.2,"[25, 50]","['wasserstein', 'jm']",0.211,6.055904
0.1,0.2,"[50, 25]","['wasserstein', 'jm']",0.211,6.026541
0.1,0.35,"[25, 25]",jm,0.211,0.606194
0.1,0.35,"[100, 10]",jm,0.211,0.605378
0.1,0.35,"[50, 50]",jm,0.211,0.599633
0.1,0.35,"[10, 100]",jm,0.211,0.59569
0.1,0.35,"[25, 50]",jm,0.211,0.60351
0.1,0.35,"[50, 25]",jm,0.211,0.609981
0.1,0.0,"[25, 25]","['jm', 'hellinger']",0.21,6.092484
0.1,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.21,6.437226
0.1,0.0,"[100, 10]","['jm', 'hellinger']",0.21,6.115962
0.1,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.21,6.446487
0.1,0.0,"[50, 50]","['jm', 'hellinger']",0.21,6.101948
0.1,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.21,6.40121
0.1,0.0,"[10, 100]","['jm', 'hellinger']",0.21,6.106653
0.1,0.0,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.21,6.410111
0.1,0.0,"[25, 50]","['jm', 'hellinger']",0.21,7.555359
0.1,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.21,6.237088
0.1,0.0,"[50, 25]","['jm', 'hellinger']",0.21,5.833829
0.1,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.21,6.214076
0.1,0.35,"[25, 25]","['wasserstein', 'jm']",0.21,6.089986
0.1,0.35,"[100, 10]","['wasserstein', 'jm']",0.21,6.066493
0.1,0.35,"[50, 50]","['wasserstein', 'jm']",0.21,6.067725
0.1,0.35,"[10, 100]","['wasserstein', 'jm']",0.21,6.068229
0.1,0.35,"[25, 50]","['wasserstein', 'jm']",0.21,6.084964
0.1,0.35,"[50, 25]","['wasserstein', 'jm']",0.21,6.110625
0.1,0.2,"[10, 100]","['wasserstein', 'hellinger']",0.209,6.048152
0.1,0.35,"[25, 25]",hellinger,0.208,0.574718
0.1,0.35,"[100, 10]",hellinger,0.208,0.576451
0.1,0.35,"[50, 50]",hellinger,0.208,0.589527
0.1,0.35,"[10, 100]",hellinger,0.208,0.576822
0.1,0.35,"[25, 50]",hellinger,0.208,0.58847
0.1,0.35,"[50, 25]",hellinger,0.208,0.578011
0.1,0.2,"[10, 100]",hellinger,0.206,0.593277
0.1,0.35,"[10, 100]","['wasserstein', 'hellinger']",0.205,6.070012
0.1,0.0,"[25, 25]",wasserstein,0.204,0.726471
0.1,0.0,"[100, 10]",wasserstein,0.204,0.737358
0.1,0.0,"[50, 50]",wasserstein,0.204,0.729931
0.1,0.0,"[10, 100]",wasserstein,0.204,0.742456
0.1,0.0,"[25, 50]",wasserstein,0.204,0.748896
0.1,0.0,"[50, 25]",wasserstein,0.204,0.712191
0.1,0.5,"[25, 25]",wasserstein,0.204,0.725081
0.1,0.5,"[25, 25]","['wasserstein', 'jm']",0.204,6.039342
0.1,0.5,"[25, 25]","['jm', 'hellinger']",0.204,6.037291
0.1,0.5,"[100, 10]",wasserstein,0.204,0.734437
0.1,0.5,"[100, 10]","['wasserstein', 'jm']",0.204,6.100158
0.1,0.5,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.204,6.39208
0.1,0.5,"[50, 50]",wasserstein,0.204,0.731884
0.1,0.5,"[50, 50]","['wasserstein', 'jm']",0.204,6.098758
0.1,0.5,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.204,6.390867
0.1,0.5,"[10, 100]",wasserstein,0.204,0.743252
0.1,0.5,"[10, 100]","['wasserstein', 'jm']",0.204,6.090774
0.1,0.5,"[25, 50]",wasserstein,0.204,0.74362
0.1,0.5,"[25, 50]","['wasserstein', 'jm']",0.204,6.065584
0.1,0.5,"[25, 50]","['jm', 'hellinger']",0.204,6.051057
0.1,0.5,"[50, 25]",wasserstein,0.204,0.736826
0.1,0.5,"[50, 25]","['wasserstein', 'jm']",0.204,6.073818
0.1,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.204,6.373265
0.1,0.5,"[25, 25]",jm,0.202,0.59556
