feature_prc,features_elimination_prc,epsilon_factor,dist_functions,accuracy,round_time
0.05,0.5,"[50, 50]","['wasserstein', 'jm']",0.973,11.77561
0.05,0.5,"[50, 25]","['wasserstein', 'jm']",0.973,11.774255
0.05,0.5,"[100, 10]",jm,0.972,5.117561
0.05,0.2,"[25, 25]",jm,0.9715,5.353249
0.05,0.2,"[25, 50]",jm,0.9715,5.274885
0.05,0.35,"[10, 100]",jm,0.9715,5.12441
0.05,0.5,"[50, 50]",hellinger,0.9715,4.251957
0.05,0.5,"[50, 25]",hellinger,0.9715,4.333971
0.05,0.0,"[25, 25]","['wasserstein', 'jm']",0.9705,12.205786
0.05,0.0,"[100, 10]","['jm', 'hellinger']",0.97,12.382539
0.05,0.0,"[100, 10]","['wasserstein', 'jm', 'hellinger']",0.97,13.315807
0.05,0.2,"[50, 25]","['wasserstein', 'jm']",0.97,12.199481
0.05,0.5,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.97,12.650073
0.05,0.2,"[10, 100]","['wasserstein', 'jm']",0.9695,12.247955
0.05,0.0,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.969,13.29328
0.05,0.0,"[25, 50]","['wasserstein', 'jm']",0.969,12.368456
0.05,0.2,"[50, 50]","['wasserstein', 'jm']",0.9685,12.254742
0.05,0.2,"[25, 50]","['wasserstein', 'jm']",0.9685,12.333567
0.05,0.0,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.968,13.601578
0.05,0.0,"[50, 50]","['wasserstein', 'jm']",0.968,12.186111
0.05,0.0,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.968,13.599575
0.05,0.5,"[50, 50]",jm,0.968,4.991774
0.05,0.5,"[50, 25]",jm,0.968,5.066335
0.05,0.0,"[10, 100]","['wasserstein', 'jm']",0.967,12.225016
0.05,0.0,"[50, 25]","['wasserstein', 'jm']",0.967,12.223461
0.05,0.2,"[25, 25]","['wasserstein', 'jm']",0.967,12.153337
0.05,0.5,"[50, 50]","['wasserstein', 'hellinger']",0.967,11.012206
0.05,0.0,"[50, 25]","['jm', 'hellinger']",0.9665,12.547876
0.05,0.2,"[100, 10]","['wasserstein', 'jm']",0.9665,12.181524
0.05,0.0,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.966,13.298507
0.05,0.2,"[25, 25]","['wasserstein', 'jm', 'hellinger']",0.966,13.342177
0.05,0.0,"[10, 100]",wasserstein,0.965,4.239467
0.05,0.35,"[10, 100]","['jm', 'hellinger']",0.965,12.232256
0.05,0.5,"[50, 25]","['wasserstein', 'hellinger']",0.965,10.95409
0.05,0.35,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.9645,13.137524
0.05,0.0,"[50, 50]","['jm', 'hellinger']",0.9635,12.42514
0.05,0.2,"[25, 25]","['jm', 'hellinger']",0.9635,12.364939
0.05,0.35,"[50, 50]","['wasserstein', 'jm', 'hellinger']",0.9635,13.130642
0.05,0.0,"[100, 10]","['wasserstein', 'jm']",0.963,12.110258
0.05,0.2,"[25, 50]","['jm', 'hellinger']",0.963,12.406978
0.05,0.2,"[25, 50]","['wasserstein', 'jm', 'hellinger']",0.963,13.280103
0.05,0.0,"[25, 25]",wasserstein,0.9625,4.38605
0.05,0.0,"[25, 50]",wasserstein,0.9625,4.275515
0.05,0.0,"[25, 50]","['jm', 'hellinger']",0.962,12.525533
0.05,0.5,"[50, 25]","['wasserstein', 'jm', 'hellinger']",0.962,13.019903
0.05,0.2,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.9615,13.177474
0.05,0.35,"[10, 100]","['wasserstein', 'jm', 'hellinger']",0.961,12.921486
